n,average time
10,1.195822551380843e-05
60,0.00025903786823278097
110,0.0008144966659983765
160,0.001665552224326916
210,0.002863831732688027
260,0.004348408887335608
310,0.0063574840764403
360,0.008623295680726529
410,0.011313725368231076
460,0.014397890127395386
510,0.017863038664404484
560,0.021391275004975795
610,0.02545119364550601
660,0.030012735743443385
710,0.033932312400477824
760,0.03941401584894209
810,0.04457035915106644
860,0.05016422733379784
910,0.05655573559414506
960,0.06277626766520825
1010,0.07036142142715676
1060,0.07825528090166926
1110,0.0844764971885013
1160,0.09210799101810778
1210,0.10127015326432627
1260,0.10871101525177948
1310,0.11876258023983724
1360,0.12676154458598035
1410,0.13529555010946978
1460,0.14508947676154094
1510,0.15644019643213483
1560,0.1688984437201327
1610,0.17707689030154938
1660,0.19522412731391228
1710,0.20366103640027405
1760,0.21298621305235202
1810,0.22774667533340676
1860,0.24495188719147903
1910,0.26003881369427406
1960,0.27055776025081285
2010,0.2796646565236756
2060,0.2964349404110237
2110,0.3048039721835153
2160,0.31933402480592576
2210,0.33334497536822594
2260,0.348272106389328
2310,0.37145677311403913
2360,0.38192824442675144
2410,0.39762261457503884
2460,0.4140862609474539

