A,CoinsNeeded
2000,40
2001,41
2002,42
2003,43
2004,44
2005,41
2006,42
2007,43
2008,44
2009,45
2010,41
2011,42
2012,43
2013,44
2014,45
2015,42
2016,43
2017,44
2018,45
2019,46
2020,42
2021,43
2022,44
2023,45
2024,46
2025,41
2026,42
2027,43
2028,44
2029,45
2030,42
2031,43
2032,44
2033,45
2034,46
2035,42
2036,43
2037,44
2038,45
2039,46
2040,43
2041,44
2042,45
2043,46
2044,47
2045,43
2046,44
2047,45
2048,46
2049,47
2050,41
2051,42
2052,43
2053,44
2054,45
2055,42
2056,43
2057,44
2058,45
2059,46
2060,42
2061,43
2062,44
2063,45
2064,46
2065,43
2066,44
2067,45
2068,46
2069,47
2070,43
2071,44
2072,45
2073,46
2074,47
2075,42
2076,43
2077,44
2078,45
2079,46
2080,43
2081,44
2082,45
2083,46
2084,47
2085,43
2086,44
2087,45
2088,46
2089,47
2090,44
2091,45
2092,46
2093,47
2094,48
2095,44
2096,45
2097,46
2098,47
2099,48
2100,42
2101,43
2102,44
2103,45
2104,46
2105,43
2106,44
2107,45
2108,46
2109,47
2110,43
2111,44
2112,45
2113,46
2114,47
2115,44
2116,45
2117,46
2118,47
2119,48
2120,44
2121,45
2122,46
2123,47
2124,48
2125,43
2126,44
2127,45
2128,46
2129,47
2130,44
2131,45
2132,46
2133,47
2134,48
2135,44
2136,45
2137,46
2138,47
2139,48
2140,45
2141,46
2142,47
2143,48
2144,49
2145,45
2146,46
2147,47
2148,48
2149,49
2150,43
2151,44
2152,45
2153,46
2154,47
2155,44
2156,45
2157,46
2158,47
2159,48
2160,44
2161,45
2162,46
2163,47
2164,48
2165,45
2166,46
2167,47
2168,48
2169,49
2170,45
2171,46
2172,47
2173,48
2174,49
2175,44
2176,45
2177,46
2178,47
2179,48
2180,45
2181,46
2182,47
2183,48
2184,49
2185,45
2186,46
2187,47
2188,48
2189,49
2190,46
2191,47
2192,48
2193,49
2194,50
2195,46
2196,47
2197,48
2198,49
2199,50
2200,44
